1	36266.4	137811			36266.4	15517.6	16233.4	16310.6			1	20	0.01	1	1			C=20	DL=0.01	k=1.0		36266.4	36328.3	34191.6	30153.7	27856.9		15517.6	16228.6	14927.2	7694.99	6634.9		16233.4	17251.6	15478	9757.83	5935.21		16310.6	17042.3	15393.4	10085	6013.02
1	15517.6	26565.3			36328.3	16228.6	17251.6	17042.3			2	20	0.01	1	10					1.2		39830.1	33890.7	33876.5	34267	23448.9		38362.4	33420.4	33021.5	33478.2	22413		36607.6	31097.1	30627.5	30490.8	24289.7		17009.6	15122.6	15850	10859.6	5972.09
1	16233.4	27808			34191.6	14927.2	15478	15393.4			3	20	0.01	1	100					1.4		36642.2	38182.8	35281.6	31597.1	25467.2		34556.1	35660.2	32426.8	30452.1	22568.8		32030.5	33750.4	32623.6	28092.9	21341.3		15874.4	16886.7	17092.1	9986.7	7729.24
1	16310.6	27973.3			30153.7	7694.99	9757.83	10085			4	20	0.01	1	1000					1.6		34988.6	37313.5	35178.1	29494.7	26379.4		32956.5	36473.6	34487.9	28869.4	18817.6		30493.5	32788.2	31358.8	26331.1	18499.8		16419.9	16559.6	16923.8	10355.2	6022.25
2	36328.3	135725			27856.9	6634.9	5935.21	6013.02			5	20	0.01	1	10000					1.8		36441.6	32003.2	33774.8	34204	21658.8		34339.4	30582	31448.9	31717.3	21432.7		31747.8	28800.7	29089.8	28350.8	22556.7		15919.2	15554.4	15445.8	10525.4	6302.43
2	16228.6	27813.7			39830.1	38362.4	36607.6	17009.6			6	20	0.01	1.2	1					2		34850.7	31642.4	34019.9	29395.8	28269.6		33054.8	30081.2	32015.7	28716.1	18950.5		30960.6	27414.8	28657	27699	21991.1		16023.3	15789.4	15657.6	9996.03	6765.76
2	17251.6	29384.9			33890.7	33420.4	31097.1	15122.6			7	20	0.01	1.2	10					3		32485.1	35934.6	37291.7	28861.4	23237.3		29292.6	33087.9	33592.8	27694.7	18014.5		26490.3	30016.2	31252	25457.9	18346.3		15585.1	16388.1	16681.4	11281.1	6096.39
2	17042.3	29165.8			33876.5	33021.5	30627.5	15850			8	20	0.01	1.2	100				DL=0.1	k=1.0		10133.5	10486.3	10691	9536.8	12423.7		3376.33	3488.09	3076.28	1528.47	2277.25		3472.38	3755.92	3398.28	1636.91	1954.88		3520.03	3772.63	3263.62	1880.74	2295.99
3	34191.6	137347			34267	33478.2	30490.8	10859.6			9	20	0.01	1.2	1000					1.2		10592.4	11238.9	9933.53	9006.97	12778.5		9978.23	10144.4	9321.41	8551.92	12989.3		9764.18	10169.1	9416.49	8427.21	10366.8		3675.79	3702.62	2991.5	1713.01	2705.82
3	14927.2	25891.9			23448.9	22413	24289.7	5972.09			10	20	0.01	1.2	10000					1.4		10871.4	10387.3	10483.6	9172.24	12003.4		9718.92	9250.72	9194.82	8028.37	11199.8		9748.66	8942.15	9003.77	8001.19	10340.3		3964.63	3616.71	3086.17	2020.79	2602.33
3	15478	26869.6			36642.2	34556.1	32030.5	15874.4			11	20	0.01	1.4	1					1.6		9409.97	10756.3	10081.9	9754.42	13150.3		8320.53	9115.04	8603.07	7539.38	10512		8128.26	9130.52	8748.84	7946.52	10065.7		3564.72	3697.44	3135.52	1950.84	2947.54
3	15393.4	26889.3			38182.8	35660.2	33750.4	16886.7			12	20	0.01	1.4	10					1.8		10629	10086.1	9994.75	9142.16	11681.8		8891.89	8668.42	8316.13	7576.78	9884.01		8525.03	8577.93	8232.31	7438.65	10963.6		3693.03	3710.8	3171.97	1997.77	2477.72
4	30153.7	134112			35281.6	32426.8	32623.6	17092.1			13	20	0.01	1.4	100					2		10691.4	10827.9	10168.6	9470.07	11391		8743.15	8600.33	8111.61	7200.6	10245.4		8679.44	8441.27	8183.95	7688.09	10493.6		3806.93	4037.21	3012.38	1885.85	2239.98
4	7694.99	12485.8			31597.1	30452.1	28092.9	9986.7			14	20	0.01	1.4	1000					3		10175.7	10256.3	10277.4	9740.39	10925.2		7725.36	7490.54	7320.45	6553.74	8270.14		7519	7357.03	7168.63	6539.67	9163.33		3814.62	3547.2	3162.84	1797.47	2471.94
4	9757.83	15877.6			25467.2	22568.8	21341.3	7729.24			15	20	0.01	1.4	10000				DL=0.3	k=1.0		8033.57	8876.79	8608.79	8717.15	9320.77		2134.56	2400.17	2001.51	1637.01	1630.95		2374.06	2393.95	2151.06	1489.42	1732.53		2394.66	2520.11	2238.38	1464.9	1491.94
4	10085	16685.5			34988.6	32956.5	30493.5	16419.9			16	20	0.01	1.6	1					1.2		8204.05	8462.36	7461.84	8834.11	11862.2		7811.62	7845.36	6985.28	7900.03	10508.9		7908.14	8100.26	7212.56	7614.83	10409.2		7881.2	8111.06	7056.91	8301.66	10020.7
5	27856.9	93995.7			37313.5	36473.6	32788.2	16559.6			17	20	0.01	1.6	10					1.4		7709.84	7464.14	7543.89	7929.91	10667.9		7134.59	6885.37	6951.15	7184.56	9517.05		7194.96	7273.44	6949.94	7626.1	9780.97		7232.41	7259.89	7164.56	7335.96	10912.9
5	6634.9	7888.01			35178.1	34487.9	31358.8	16923.8			18	20	0.01	1.6	100					1.6		7441.08	7494.56	7104.92	7476.39	9426.09		6676.32	6686.73	6713.35	7178.43	10793.9		6941.4	7090.8	6809.77	7200.23	10443.5		7007.26	7008.37	6610.83	6917.22	9587.32
5	5935.21	7737.89			29494.7	28869.4	26331.1	10355.2			19	20	0.01	1.6	1000					1.8		7518.6	7453.54	7274.05	7191.9	11137.7		7087.46	6876.63	6580.25	6193.65	9646.22		7164.13	6994.89	6868.61	6998.84	8714.14		7038.15	7039.19	7037.72	7254.11	10671.9
5	6013.02	7924.04			26379.4	18817.6	18499.8	6022.25			20	20	0.01	1.6	10000					2		6884.03	6635.66	6886.54	7565.35	10349.5		6321.24	6322.81	6418.52	7276.58	9357.65		6496.03	6461.54	6351.6	7037.97	8491.56		6553.95	6330.69	6595	7300.58	8595.51
6	39830.1	137402			36441.6	34339.4	31747.8	15919.2			21	20	0.01	1.8	1					3		6196.99	5905.44	6067.37	6689.14	9429.77		5535.84	5467.02	5553.62	6410.89	8478.4		5855.57	5572.12	5729.84	6223.21	9755.22		5931.35	5615.63	5778.49	6357.22	8626.51
6	38362.4	124760			32003.2	30582	28800.7	15554.4			22	20	0.01	1.8	10			C=10	DL=0.01	k=1.0		891.61	242.06	309.68	897.22	2007.27		150.9	223.03	71.64	908.91	1399.04		277.67	426.76	267.39	923.52	1267.52		515.11	100.8	131.34	1100.02	1325.84
